instance,algorithm,variant,K,N,M,time_seconds,cost,num_influencers,covered_count,success,stdout_snippet
ninstance_329.txt,fb,macro,10,150,15,0.006226,3832,3,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Fuerza Bruta:
Influencers usados: 0 1 2
Costo total: 3832"
ninstance_329.txt,bt,todos,,150,15,0.016468,2759,12,150,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Backtracking:
Influencers usados: 3 4 5 6 7 8 9 10 11 12 13 14
Costo total: 2759"
ninstance_329.txt,bt,micro,5,150,15,0.005813,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_329.txt,bt,micro,10,150,15,0.004598,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_329.txt,bt,macro,5,150,15,0.017154,2759,12,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Backtracking:
Influencers usados: 3 4 5 6 7 8 9 10 11 12 13 14
Costo total: 2759"
ninstance_329.txt,bt,macro,10,150,15,0.006170,3832,3,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Backtracking:
Influencers usados: 0 1 2
Costo total: 3832"
ninstance_345.txt,fb,todos,,50,15,0.032072,651,12,50,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Fuerza Bruta:
Influencers usados: 1 2 3 4 5 6 8 9 11 12 13 14
Costo total: 651"
ninstance_345.txt,fb,micro,5,50,15,0.007546,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_345.txt,fb,micro,10,50,15,0.008411,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_345.txt,fb,macro,5,50,15,0.004859,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_345.txt,fb,macro,10,50,15,0.004490,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_345.txt,bt,todos,,50,15,0.029501,651,12,50,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Backtracking:
Influencers usados: 1 2 3 4 5 6 8 9 11 12 13 14
Costo total: 651"
ninstance_345.txt,bt,micro,5,50,15,0.005954,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_345.txt,bt,micro,10,50,15,0.007318,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_345.txt,bt,macro,5,50,15,0.004856,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_345.txt,bt,macro,10,50,15,0.005312,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_347.txt,fb,todos,,25,20,0.223106,224,8,25,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Fuerza Bruta:
Influencers usados: 1 8 11 14 15 16 18 19
Costo total: 224"
ninstance_347.txt,fb,micro,5,25,20,0.072008,273,8,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Fuerza Bruta:
Influencers usados: 3 5 6 7 9 11 12 15
Costo total: 273"
ninstance_347.txt,fb,micro,10,25,20,0.162148,224,8,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Fuerza Bruta:
Influencers usados: 1 7 10 13 14 15 17 18
Costo total: 224"
ninstance_347.txt,fb,macro,5,25,20,0.004765,277,4,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Fuerza Bruta:
Influencers usados: 0 1 2 3
Costo total: 277"
ninstance_347.txt,fb,macro,10,25,20,0.007883,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
